,wm_prod_code,prod_detail_type_code,prod_ccy,prod_risk_code,can_rcmd_ind,prod_name
0,AAC4,FNDF,AUD,RR3,1,富達全球入息基金Ｈ月配澳幣避險
2,AF46,FNDF,EUR,RR4,0,鋒匯理Ⅱ－歐洲潛力Ａ２歐元
3,AO14,FNDF,USD,RR2,1,ＰＩＭＣＯ總回報債券基金Ｅ級類別收息股份
5,GG29,FNDF,EUR,RR3,1,安本標準歐元高收益債券基金Ａ月配息歐元
6,GG48,FNDF,USD,RR4,0,安本標準日本小型公司基金Ａ累積美元避險
15,1223,FNDD,TWD,RR5,1,統一亞洲大金磚基金
16,1337,FNDD,TWD,RR3,1,保德信印度機會債券基金累積型－新臺幣
19,2046,FNDD,TWD,RR4,1,國泰全球積極組合基金－新臺幣（累積）
20,2103,FNDD,TWD,RR5,1,野村ｅ科技基金
21,2908,FNDD,TWD,RR3,1,復華全球債券組合基金
26,AT14,FNDF,USD,RR4,1,百達林木資源Ｒ美元
37,AG43,FNDF,USD,RR2,0,貝萊德美國政府房貸債券基金美元
38,AH54,FNDF,SGD,RR3,1,新加坡大華國際成長基金星幣
40,AJ21,FNDF,USD,RR3,0,瀚Ｍ＆Ｇ收益優化基金Ａ－Ｈ（美元避險）
41,CC20,FNDF,USD,RR5,0,摩根菲律賓基金
46,JJ23,FNDF,USD,RR2,0,富蘭克林坦伯頓月入息基金
48,NN60,FNDF,JPY,RR4,0,聯博日本策略價值基金Ａ級別日圓
49,QQ11,FNDF,EUR,RR4,1,瑞銀（盧森堡）歐洲中型股票基金（歐元）
50,UU10,FNDF,USD,RR3,0,天利盧森堡全球焦點基金
53,WW20,FNDF,USD,RR4,1,霸菱亞洲平衡基金Ａ類美元配息型
55,2122,FNDD,TWD,RR4,1,野村台灣高股息基金
57,2504,FNDD,TWD,RR5,1,安聯全球新興市場基金
60,3322,FNDD,TWD,RR2,1,群益亞洲新興市場投資級債券基金Ａ類型累積
62,4612,FNDD,AUD,RR4,1,瀚亞亞太豐收平衡基金Ｂ－澳幣
63,5012,FNDD,TWD,RR3,1,貝萊德享退休系列２０４０目標日期組合基金－新臺幣
71,AAE1,FNDF,AUD,RR5,0,富達東協基金澳幣避險累積型
72,AAE6,FNDF,USD,RR4,1,富達德國基金美元避險累積型
75,AF29,FNDF,USD,RR3,0,鋒匯理Ⅱ－美國高息Ａ２美元
78,AG39,FNDF,USD,RR2,1,貝萊德美元優質債券基金美元
81,AP19,FNDF,EUR,RR4,1,ＮＮ（Ｌ）食品飲料基金Ｘ股歐元
85,CCC3,FNDF,JPY,RR4,1,摩根－ＪＰＭ日本股票日圓（Ａ股累計）基金
88,MM01,FNDF,EUR,RR4,1,安聯全球資源基金－Ａ配息類股（歐元）
91,3301,FNDD,TWD,RR5,1,群益中小型股基金
96,AA03,FNDF,SEK,RR4,1,富達北歐基金
98,6016,FNDD,CNY,RR3,1,安聯收益成長多重資產基金－Ａ類型（累積）－人民幣
104,AA69,FNDF,EUR,RR3,1,富達歐洲高收益基金月配Ａ
109,AG83,FNDF,EUR,RR5,1,貝萊德太平洋股票基金歐元
110,AH03,FNDF,USD,RR5,1,新加坡大華亞太增長基金美元
116,KK28,FNDF,EUR,RR3,1,富蘭克林坦伯頓全球投資成長歐元基金
117,KK77,FNDF,USD,RR3,1,富蘭克林坦伯頓全球投資歐洲高收益基金美元月配
122,AG15,FNDF,USD,RR5,1,貝萊德新興市場基金美元
127,AA21,FNDF,AUD,RR4,1,富達澳洲基金
128,AA68,FNDF,USD,RR2,1,富達美元債券基金月配Ａ
129,AG20,FNDF,USD,RR4,1,貝萊德永續能源基金美元
136,1119,FNDD,TWD,RR4,1,日盛ＭＩＴ主流基金
137,1619,FNDD,TWD,RR4,1,第一金全球大趨勢基金
148,AA74,FNDF,USD,RR4,1,富達目標基金２０２０
151,AF72,FNDF,USD,RR2,0,鋒匯理Ⅱ－新興市場當地貨幣債券Ａ股美元月配穩定配息
152,AG47,FNDF,USD,RR2,1,貝萊德環球政府債券基金美元配現
153,AGB1,FNDF,EUR,RR3,1,貝萊德全球股票收益基金Ａ２歐元避險
156,CC98,FNDF,USD,RR5,1,摩根－ＪＰＭ新興歐洲股票美元（Ａ股累計）基金
158,HH23,FNDF,GBP,RR2,0,施羅德美國小型公司基金
160,KK49,FNDF,EUR,RR3,1,富蘭克林坦伯頓全球投資全球核心策略基金歐元
163,PP08,FNDF,GBP,RR4,1,施羅德環球英國股票（英鎊）Ａ１－累積基金
167,2108,FNDD,TWD,RR3,1,野村全球高股息基金
170,2903,FNDD,TWD,RR4,1,復華神盾基金
172,ER24,FNDF,AUD,RR3,0,ＮＢ新興市場本地貨幣債券基金Ｅ股月配澳幣
177,FCA7,FNDF,AUD,RR3,0,摩根投資－ＪＰＭ多重收益澳幣對沖（Ｆ股利率入息）基金
179,AAB1,FNDF,USD,RR4,1,富達全球消費行業基金美元累積
184,AG37,FNDF,EUR,RR2,1,貝萊德歐元優質債券基金歐元
186,AJ46,FNDF,USD,RR4,0,瀚亞Ｍ＆Ｇ北美股息基金美元
188,CC99,FNDF,USD,RR2,1,摩根－ＪＰＭ美國複合收益債券美元（Ａ股累計）基金
189,CCA3,FNDF,USD,RR3,1,摩根投資－ＪＰＭ多重收益美元對沖（Ａ股每月派息）基金
190,EE39,FNDF,USD,RR4,1,景順日本小型企業基金Ａ（美元對沖）股美元
194,PP26,FNDF,USD,RR2,1,施羅德環球新興市場債券（美元）Ａ１－累積基金
195,QQ01,FNDF,USD,RR4,1,瑞銀（盧森堡）生化股票基金（美元）
196,QQ07,FNDF,USD,RR3,1,瑞銀（盧森堡）保健股票基金（美元）
201,2026,FNDD,TWD,RR3,1,國泰全球多重收益平衡基金不配息
202,2104,FNDD,TWD,RR4,1,野村平衡基金
206,4921,FNDD,CNY,RR5,1,群益中國新機會基金人民幣
210,UF71,FNDF,USD,RR3,0,鋒匯理Ⅱ－新興市場債券Ｕ股美元月配穩定配息
212,AA66,FNDF,EUR,RR3,1,富達全球健康護理基金
214,AF53,FNDF,AUD,RR3,0,鋒匯理Ⅱ－環球高收益Ａ股澳幣收益穩定配息
215,AG18,FNDF,USD,RR3,1,貝萊德環球前瞻股票基金美元
216,AI40,FNDF,ZAR,RR3,1,瀚亞全球價值股票基金南非幣避險穩定月配
218,AP20,FNDF,AUD,RR2,1,ＮＮ（Ｌ）投資級公司債基金Ｘ股對沖級別澳幣（月配息）
219,CCB9,FNDF,USD,RR4,1,摩根－ＪＰＭ歐洲小型企業美元（Ａ股累計）基金
221,GG44,FNDF,USD,RR3,0,安本標準新興市場債券基金Ａ累積美元
223,KK34,FNDF,USD,RR2,1,富蘭克林坦伯頓全球投資亞洲債券基金
